      _dumprof:   profdummy.a
      _exit:      cfinish.a
      _os9:       syscall.a
      _os9err:    syscommon.a
      _sigint:    intercept.a
      _sigint:    signal.a
      _sysret:    syscommon.a
      _tidyup:    tidyup.a
      abort:      abort.a
      access:     access.a
      access:     access.a.old
      asetuid:    id.a
      chain:      process.a
      chdir:      dir.a
      chmod:      change.a.old
      chmod:      chmod.a
      chown:      change.a.old
      chown:      chown.a
      chxdir:     dir.a
      close:      access.a.old
      close:      open.a
      crc:        misc.a
      creat:      access.a.old
      creat:      create.a
      create:     create.a
      dup:        access.a
      dup:        access.a.old
      exit:       cfinish.a
      getime:     time.a
      getpid:     id.a.old
      getpid:     id.a
      getstat:    stat.a.old
      getstat:    stat.a
      getuid:     id.a.old
      getuid:     id.a
      ibrk:       mem.a
      intercep:   intercept.a
      intercept:  intercept.a
      kill:       process.a
      lock:       misc.a
      lseek:      io.a.old
      lseek:      lseek.a
      mknod:      access.a
      mknod:      access.a.old
      modlink:    mod.a
      modload:    mod.a
      munlink:    mod.a
      ocreat:     create.a
      open:       access.a.old
      open:       open.a
      os9fork:    process.a
      pause:      misc.a
      prerr:      misc.a
      read:       io.a.old
      read:       read.a
      readln:     io.a.old
      readln:     read.a
      sbrk:       mem.a
      setime:     time.a
      setpr:      process.a
      setstat:    stat.a.old
      setstat:    stat.a
      setuid:     id.a.old
      setuid:     id.a
      signal:     signal.a
      sync:       misc.a
      tsleep:     misc.a
      unlink:     access.a
      unlink:     access.a.old
      unlinkx:    access.a
      wait:       process.a
      write:      io.a.old
      write:      write.a
      writeln:    io.a.old
      writeln:    write.a
